"date_time","month","season","occ.sess","occasion","session","site","trt","food_trt","helm_trt","tag","firstcap","trap","x","y","caps_per_occ","traps_per_occ","sex","adult","current_breeder","ever_breeder","per","nip","preg","test","head","mass","fate","first_seen","last_seen","days_known_alive","recapped","caps_per_life","traps_per_life","res","caps_per_season","traps_per_season"
2021-06-12 18:00:00,"june","summer","2.4","2",4,"radio","fed_control","fed","control","226067","1","A1",1,1,1,1,"F","adult","nonbreeder","nonbreeder","0","0","0",NA,13.6,18.5,"R",2021-06-12 18:00:00,2021-06-12 18:00:00,0,"0",1,1,"nonresident",1,1
2021-06-12 18:00:00,"june","summer","2.4","2",4,"janakkala","fed_deworm","fed","deworm","226068","1","G4",7,7,1,1,"M","adult","breeder","breeder",NA,NA,NA,"1",13.9,21.5,"R",2021-06-12 18:00:00,2021-08-10 06:00:00,58.5,"1",4,4,"nonresident",4,4
2021-07-12 18:00:00,"july","summer","3.4","3",4,"janakkala","fed_deworm","fed","deworm","226068","0","K1",11,1,1,1,"M","adult","breeder","breeder",NA,NA,NA,"1",14.4,22,"R",2021-06-12 18:00:00,2021-08-10 06:00:00,58.5,"1",4,4,"nonresident",4,4
2021-08-09 06:00:00,"aug","summer","4.1","4",1,"janakkala","fed_deworm","fed","deworm","226068","0","H1",8,2,2,2,"M","adult","breeder","breeder",NA,NA,NA,"1",14.1,25.5,"R",2021-06-12 18:00:00,2021-08-10 06:00:00,58.5,"1",4,4,"nonresident",4,4
2021-08-10 06:00:00,"aug","summer","4.3","4",3,"janakkala","fed_deworm","fed","deworm","226068","0","I4",9,7,2,2,"M","adult","breeder","breeder",NA,NA,NA,"1",14.1,25.5,"R",2021-06-12 18:00:00,2021-08-10 06:00:00,58.5,"1",4,4,"nonresident",4,4
2021-05-24 06:00:00,"may","summer","1.3","1",3,"vaarinkorpi","fed_control","fed","control","226069","1","H2",8,4,2,1,"M","adult","breeder","breeder",NA,NA,NA,"1",14.1,22.5,"R",2021-05-24 06:00:00,2021-06-21 18:00:00,28.5,"1",3,2,"nonresident",3,2
2021-05-24 18:00:00,"may","summer","1.4","1",4,"vaarinkorpi","fed_control","fed","control","226069","0","H2",8,4,2,1,"M","adult","breeder","breeder",NA,NA,NA,"1",14.1,22.5,"R",2021-05-24 06:00:00,2021-06-21 18:00:00,28.5,"1",3,2,"nonresident",3,2
2021-06-21 18:00:00,"june","summer","2.2","2",2,"vaarinkorpi","fed_control","fed","control","226069","0","G2",7,3,1,1,"M","adult","breeder","breeder",NA,NA,NA,"1",13.7,24.5,"R",2021-05-24 06:00:00,2021-06-21 18:00:00,28.5,"1",3,2,"nonresident",3,2
2021-06-21 06:00:00,"june","summer","2.1","2",1,"puro","fed_deworm","fed","deworm","226070","1","H2",8,4,2,1,"F","adult","nonbreeder","nonbreeder","1","0","0",NA,13.1,20,"R",2021-06-21 06:00:00,2021-06-21 18:00:00,0.5,"1",2,1,"nonresident",2,1
2021-06-21 18:00:00,"june","summer","2.2","2",2,"puro","fed_deworm","fed","deworm","226070","0","H2",8,4,2,1,"F","adult","nonbreeder","nonbreeder","1","0","0",NA,13.1,20,"R",2021-06-21 06:00:00,2021-06-21 18:00:00,0.5,"1",2,1,"nonresident",2,1
